,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted_Hobby
332,1,1,1,3,1,5,3,1,0,1,1,1,2,0
333,1,1,1,2,0,3,2,1,0,0,0,1,3,0
334,1,1,1,0,1,2,3,1,0,1,1,1,3,0
335,1,1,1,1,0,4,1,0,0,0,0,1,1,0
336,1,1,1,3,0,3,2,0,0,1,0,1,1,0
337,1,1,1,2,0,4,3,1,0,1,0,1,1,0
338,1,1,0,3,1,3,3,0,0,0,0,0,1,0
339,1,1,1,1,0,2,2,1,0,1,1,1,1,0
340,1,1,1,2,0,5,3,0,0,1,1,1,3,0
341,1,1,1,2,1,3,3,1,1,1,1,0,4,0
342,1,1,1,2,1,3,3,0,1,0,1,1,2,0
343,1,1,1,1,0,4,4,1,0,0,0,1,1,0
344,1,1,1,3,1,3,3,1,0,0,0,1,1,0
345,1,1,1,3,1,2,3,0,0,1,0,0,2,0
346,1,1,1,0,1,5,3,0,0,1,1,1,1,0
347,1,1,1,3,1,4,1,1,0,1,1,1,1,0
348,1,1,1,3,1,5,3,1,0,1,0,1,1,0
349,1,1,1,2,1,1,3,1,0,0,0,1,3,0
350,1,1,1,1,1,4,3,1,0,1,1,1,3,0
351,1,1,1,2,1,2,4,0,1,0,0,0,3,0
352,1,1,1,2,0,1,4,0,0,0,0,0,1,0
353,1,1,1,2,0,2,2,1,0,1,0,1,2,0
354,1,1,1,0,1,2,3,1,0,0,0,1,2,0
355,1,1,1,1,1,2,5,0,1,0,0,1,1,0
356,1,1,1,2,1,3,4,0,0,0,0,1,1,0
357,1,1,1,2,1,3,3,1,1,1,0,1,2,0
358,1,1,1,3,1,4,1,1,0,1,0,1,1,0
359,1,1,1,3,0,4,2,1,0,1,0,1,3,0
360,1,1,1,0,1,4,1,1,0,0,1,0,1,0
361,1,1,1,3,1,3,5,1,0,1,0,1,2,0
362,1,1,1,2,1,4,2,0,0,0,1,0,1,0
363,1,1,1,3,1,3,2,1,0,1,0,1,1,0
364,1,1,1,3,1,4,5,1,0,1,1,1,2,0
365,1,1,1,0,1,5,3,0,0,1,0,1,1,0
366,1,1,0,2,0,4,3,1,0,0,1,1,2,0
367,1,1,1,1,0,4,1,0,0,0,0,1,1,0
368,1,1,1,3,0,3,1,0,0,1,0,1,2,0
369,1,1,1,2,0,4,3,1,0,1,0,1,1,0
370,1,1,1,2,1,2,4,0,1,0,0,0,3,0
